Unique ID,First_Transaction,Last_Transaction,Total_Transactions,Total_Debit,Total_Credit,Max_Balance,Min_Balance,Avg_Balance,Daily Count,Weekly Count,Monthly Count,Yearly Count
asimshah21,2023-03-13,2024-04-16,4,487.0,40.0,2503.02,752.38,1432.565,4,4,4,4
atharvahav,2023-11-28,2023-11-28,1,200.0,0.0,1001.92,1001.92,1001.92,1,1,1,1
atharvapat,2023-02-07,2023-04-03,4,37.0,314.0,3624.81,1338.88,2567.5950000000003,4,4,4,4
atharvbhag,2023-01-16,2023-01-16,1,250.0,0.0,2151.88,2151.88,2151.88,1,1,1,1
bharatpe.8,2024-09-18,2024-09-18,1,128.0,0.0,889.81,889.81,889.81,1,1,1,1
bharatpe.9,2023-12-01,2023-12-01,1,150.0,0.0,656.92,656.92,656.92,1,1,1,1
bharatpe09,2023-05-09,2023-05-09,1,100.0,0.0,1683.82,1683.82,1683.82,1,1,1,1
bharatpe90,2023-06-10,2023-10-31,3,120.0,0.0,935.12,806.92,885.7199999999999,3,3,3,3
bharatpe9h,2024-10-25,2024-10-25,1,10.0,0.0,567.81,567.81,567.81,1,1,1,1
burgerking,2023-03-10,2024-09-02,4,673.06,0.0,1114.38,146.81,798.9475,4,4,4,4
chettiarpr,2024-04-10,2024-08-02,2,340.0,943.0,8244.52,12.79,4128.655000000001,2,2,2,2
csmvscurre,2024-08-02,2024-08-02,1,225.0,0.0,352.79,352.79,352.79,1,1,1,1
deepanshua,2024-04-19,2024-04-19,1,400.0,0.0,1762.02,1762.02,1762.02,1,1,1,1
dream11@ax,2023-04-27,2023-04-27,1,4.0,0.0,1148.82,1148.82,1148.82,1,1,1,1
durgaraam6,2023-01-19,2023-01-19,1,50.0,0.0,1675.88,1675.88,1675.88,1,1,1,1
farukhpath,2023-03-06,2023-03-06,1,20.0,0.0,936.88,936.88,936.88,1,1,1,1
fcbizok69u,2023-03-25,2023-05-08,2,18.0,0.0,1783.82,1235.38,1509.6,2,2,2,2
flourworks,2024-06-04,2024-06-04,1,12.0,0.0,996.31,996.31,996.31,1,1,1,1
goog-payme,2024-04-17,2024-04-17,1,0.0,6.0,1907.02,1907.02,1907.02,1,1,1,1
gpay-11193,2023-02-12,2023-02-22,2,970.0,0.0,1737.88,761.88,1249.88,2,2,2,2
gpay-11204,2023-03-23,2024-06-06,3,185.0,0.0,1321.38,1095.82,1206.5033333333333,3,3,3,3
gpay-11206,2023-08-08,2023-08-08,1,30.0,0.0,2578.62,2578.62,2578.62,1,1,1,1
gpay-11208,2023-04-28,2023-04-28,1,27.0,0.0,1091.82,1091.82,1091.82,1,1,1,1
gpay-11235,2023-08-05,2023-08-05,1,132.0,0.0,2323.62,2323.62,2323.62,1,1,1,1
guptatufan,2023-05-15,2023-05-15,1,170.0,0.0,595.82,595.82,595.82,1,1,1,1
imagicaalo,2024-04-11,2024-04-11,1,400.0,0.0,2952.02,2952.02,2952.02,1,1,1,1
jayashreer,2023-10-31,2024-10-25,2,425.0,0.0,558.92,390.81,474.865,2,2,2,2
jrao15120@,2023-03-23,2023-03-23,1,110.0,0.0,1421.38,1421.38,1421.38,1,1,1,1
kavankarhi,2023-08-08,2023-08-08,1,600.0,0.0,1978.62,1978.62,1978.62,1,1,1,1
mab.037322,2023-01-29,2023-01-29,1,190.0,0.0,1066.88,1066.88,1066.88,1,1,1,1
madaboutsp,2024-06-01,2024-06-01,1,10.75,0.0,207.31,207.31,207.31,1,1,1,1
mayabhanus,2024-04-10,2024-04-12,2,110.0,944.0,3532.02,2665.02,3098.52,2,2,2,2
mcdonalds.,2024-05-07,2024-10-04,4,575.87,0.0,3579.05,179.37,1863.635,4,4,4,4
mcdonaldsi,2023-04-09,2024-07-08,6,1125.96,0.0,2960.82,529.06,1545.9316666666666,6,6,6,6
mnk2017sam,2024-06-05,2024-06-05,1,0.0,185.0,1227.31,1227.31,1227.31,1,1,1,1
mswipe.140,2024-06-17,2024-06-17,1,450.0,0.0,992.31,992.31,992.31,1,1,1,1
nazuu458@o,2023-06-21,2023-06-21,1,110.0,0.0,957.62,957.62,957.62,1,1,1,1
netflixupi,2024-04-10,2024-07-09,3,597.0,0.0,4472.4,944.59,2209.0133333333333,3,3,3,3
nimishwarg,2023-04-27,2023-04-27,1,40.0,0.0,1214.82,1214.82,1214.82,1,1,1,1
nimitsheth,2023-04-05,2023-04-05,1,220.0,0.0,3374.81,3374.81,3374.81,1,1,1,1
nirajpande,2024-05-19,2024-05-19,1,80.0,0.0,1110.05,1110.05,1110.05,1,1,1,1
o111221438,2023-05-09,2023-05-09,1,20.0,0.0,1594.82,1594.82,1594.82,1,1,1,1
ombk.lbfaa,2023-04-15,2023-04-15,1,1287.0,0.0,1289.82,1289.82,1289.82,1,1,1,1
pantaloons,2024-10-12,2024-10-12,1,399.0,0.0,2310.81,2310.81,2310.81,1,1,1,1
paramgogia,2023-04-27,2023-10-23,4,100.0,122.0,1777.62,151.92,1091.0449999999998,4,4,4,4
parnikadas,2023-12-01,2023-12-01,1,0.0,25.0,706.92,706.92,706.92,1,1,1,1
paytg.fcai,2024-05-08,2024-05-11,2,1200.0,0.0,2780.05,1569.05,2174.55,2,2,2,2
paytg.five,2024-05-01,2024-05-01,1,869.0,0.0,2008.04,2008.04,2008.04,1,1,1,1
paytg.prem,2024-04-24,2024-04-24,1,750.0,0.0,962.02,962.02,962.02,1,1,1,1
paytg.snap,2024-04-29,2024-04-29,1,909.0,0.0,3016.03,3016.03,3016.03,1,1,1,1
paytm-0401,2023-04-20,2023-04-21,2,40.0,0.0,1539.82,1509.82,1524.82,2,2,2,2
paytm-3139,2023-05-21,2023-05-21,1,180.0,0.0,826.82,826.82,826.82,1,1,1,1
paytm-4274,2023-09-01,2023-09-01,1,45.0,0.0,461.92,461.92,461.92,1,1,1,1
paytm-4776,2023-08-19,2023-08-19,1,20.0,0.0,535.92,535.92,535.92,1,1,1,1
paytm-4796,2023-02-25,2023-02-25,1,220.0,0.0,1178.88,1178.88,1178.88,1,1,1,1
paytm-5282,2023-08-08,2023-08-08,1,150.0,0.0,1598.62,1598.62,1598.62,1,1,1,1
paytm-5645,2023-08-21,2023-08-27,2,150.0,0.0,1496.92,586.92,1041.92,2,2,2,2
paytm-6210,2023-06-15,2023-06-15,1,20.0,0.0,850.12,850.12,850.12,1,1,1,1
paytm-6459,2023-08-30,2023-08-30,1,45.0,0.0,761.92,761.92,761.92,1,1,1,1
paytm-6467,2023-01-19,2024-06-16,7,540.0,0.0,3397.48,281.12,1852.0057142857145,7,7,7,7
paytm-6634,2023-08-06,2023-08-06,1,410.0,0.0,1643.62,1643.62,1643.62,1,1,1,1
paytm-6927,2023-04-10,2023-04-10,1,60.0,0.0,2450.82,2450.82,2450.82,1,1,1,1
paytm-8727,2023-08-22,2024-08-01,2,200.0,0.0,1396.92,997.79,1197.355,2,2,2,2
paytm-8736,2023-07-13,2023-07-13,1,90.0,0.0,215.62,215.62,215.62,1,1,1,1
paytmqr12u,2023-05-14,2023-11-04,3,195.0,0.0,1015.82,443.92,644.5533333333334,3,3,3,3
paytmqr14h,2024-09-20,2024-09-20,1,99.0,0.0,483.81,483.81,483.81,1,1,1,1
paytmqr14k,2024-05-21,2024-10-08,3,445.0,0.0,4113.81,1035.05,2072.816666666667,3,3,3,3
paytmqr15c,2023-11-05,2023-12-16,2,330.0,0.0,802.92,602.92,702.92,2,2,2,2
paytmqr15v,2024-08-07,2024-08-13,2,86.0,0.0,802.79,433.25,618.02,2,2,2,2
paytmqr15x,2024-04-13,2024-06-26,2,150.0,0.0,2580.02,406.59,1493.305,2,2,2,2
paytmqr1bi,2024-09-19,2024-09-19,1,10.0,0.0,647.81,647.81,647.81,1,1,1,1
paytmqr1c1,2024-08-13,2024-11-01,2,115.0,0.0,944.81,378.25,661.53,2,2,2,2
paytmqr1d4,2024-07-13,2024-07-13,1,210.0,0.0,859.59,859.59,859.59,1,1,1,1
paytmqr1d7,2023-10-16,2023-10-16,1,12.0,0.0,606.92,606.92,606.92,1,1,1,1
paytmqr1db,2023-04-29,2023-04-29,1,30.0,0.0,1061.82,1061.82,1061.82,1,1,1,1
paytmqr1di,2024-08-05,2024-08-05,1,100.0,0.0,1352.79,1352.79,1352.79,1,1,1,1
paytmqr1f4,2023-06-15,2023-06-15,1,30.0,0.0,920.12,920.12,920.12,1,1,1,1
paytmqr1hs,2023-11-07,2023-11-07,1,24.0,0.0,1273.92,1273.92,1273.92,1,1,1,1
paytmqr1jc,2024-04-02,2024-07-31,13,977.0,0.0,2775.02,356.59,1141.063846153846,13,13,13,13
paytmqr1jg,2024-06-11,2024-06-11,1,50.0,0.0,1314.31,1314.31,1314.31,1,1,1,1
paytmqr1ow,2023-10-16,2023-10-16,1,30.0,0.0,618.92,618.92,618.92,1,1,1,1
paytmqr1p8,2023-09-18,2023-09-18,1,15.0,0.0,531.92,531.92,531.92,1,1,1,1
paytmqr1rd,2023-08-08,2023-08-08,1,10.0,0.0,1748.62,1748.62,1748.62,1,1,1,1
paytmqr1su,2023-06-08,2023-06-08,1,15.0,0.0,955.12,955.12,955.12,1,1,1,1
paytmqr1t4,2023-12-16,2023-12-16,1,50.0,0.0,752.92,752.92,752.92,1,1,1,1
paytmqr1wq,2023-09-08,2023-09-08,1,49.0,0.0,311.92,311.92,311.92,1,1,1,1
paytmqr1xg,2023-10-04,2024-08-19,2,180.0,0.0,982.92,840.37,911.645,2,2,2,2
paytmqr281,2023-01-13,2024-10-12,78,8320.0,0.0,3411.82,303.81,1372.9215384615386,78,78,78,78
paytmqr3w5,2024-08-13,2024-09-24,3,230.0,0.0,582.81,198.81,426.95666666666665,3,3,3,3
paytmqr56u,2024-06-20,2024-09-17,3,210.0,0.0,1567.81,362.79,808.9699999999999,3,3,3,3
paytmqr593,2024-10-18,2024-10-18,1,45.0,0.0,147.81,147.81,147.81,1,1,1,1
paytmqr5an,2024-08-19,2024-08-19,1,56.0,0.0,784.37,784.37,784.37,1,1,1,1
paytmqr5cb,2024-09-25,2024-09-28,2,267.0,0.0,336.81,109.81,223.31,2,2,2,2
paytmqr5dq,2024-10-05,2024-10-05,1,65.0,0.0,3318.81,3318.81,3318.81,1,1,1,1
paytmqr5wr,2024-11-05,2024-11-05,1,79.0,0.0,870.03,870.03,870.03,1,1,1,1
paytmqr7yu,2023-10-19,2023-10-19,1,600.0,0.0,86.92,86.92,86.92,1,1,1,1
paytmqr8hy,2024-05-06,2024-05-06,1,160.0,0.0,2958.04,2958.04,2958.04,1,1,1,1
paytmqr9zc,2023-08-02,2023-08-02,1,170.0,0.0,1246.62,1246.62,1246.62,1,1,1,1
paytmqrbgj,2023-08-05,2023-11-05,3,730.0,0.0,2053.62,682.92,1143.1533333333334,3,3,3,3
paytmqrjq2,2023-09-18,2023-09-18,1,12.0,0.0,519.92,519.92,519.92,1,1,1,1
paytmqrk49,2023-06-01,2023-06-01,1,10.0,0.0,898.82,898.82,898.82,1,1,1,1
paytmqrlrf,2023-08-08,2023-08-08,1,100.0,0.0,1878.62,1878.62,1878.62,1,1,1,1
paytmqrqio,2023-05-25,2023-05-25,1,15.0,0.0,1362.82,1362.82,1362.82,1,1,1,1
paytmqrqri,2023-12-15,2023-12-15,1,70.0,0.0,1042.92,1042.92,1042.92,1,1,1,1
paytmqrrds,2023-05-19,2023-06-19,2,30.0,0.0,1390.82,481.12,935.97,2,2,2,2
paytmqruee,2024-04-16,2024-09-09,4,150.0,0.0,2996.03,734.37,1743.8075,4,4,4,4
paytmqrwth,2023-10-21,2023-10-21,1,20.0,0.0,116.92,116.92,116.92,1,1,1,1
paytmqryb4,2024-04-18,2024-04-18,1,75.0,0.0,1892.02,1892.02,1892.02,1,1,1,1
paytmqrz2t,2023-10-31,2023-11-16,2,170.0,0.0,898.92,886.92,892.92,2,2,2,2
paytmqrz32,2023-05-22,2023-05-22,1,30.0,0.0,796.82,796.82,796.82,1,1,1,1
paytmqrzvz,2023-11-16,2023-12-09,3,570.0,0.0,1111.92,668.92,859.9200000000001,3,3,3,3
pfintec.an,2024-05-12,2024-05-12,1,500.0,0.0,1569.05,1569.05,1569.05,1,1,1,1
pfintec.fi,2024-05-03,2024-05-03,1,500.0,0.0,3008.04,3008.04,3008.04,1,1,1,1
pfintec.gr,2024-06-16,2024-06-16,1,500.0,0.0,1275.31,1275.31,1275.31,1,1,1,1
pizzahut.2,2023-02-24,2023-02-24,1,628.0,0.0,1084.88,1084.88,1084.88,1,1,1,1
prachi2477,2023-04-02,2024-10-30,13,10.0,8700.0,3582.81,427.48,1368.716923076923,13,13,13,13
prachiswt2,2023-03-19,2023-07-14,4,0.0,5500.0,2397.62,1473.38,1878.525,4,4,4,4
prajapatii,2023-05-18,2023-06-02,3,85.0,0.0,1731.82,908.82,1360.4866666666667,3,3,3,3
pranhitsla,2023-06-10,2023-09-18,8,4290.0,335.0,1135.12,190.62,471.29499999999996,8,8,8,8
prathamshi,2023-05-10,2024-08-30,9,4165.0,0.0,4016.03,218.06,1420.8855555555556,9,9,9,9
pulkit3010,2023-03-26,2024-06-12,7,851.0,0.0,2455.62,670.31,1169.4514285714286,7,7,7,7
q031373311,2023-10-04,2023-12-13,2,30.0,0.0,972.92,612.92,792.92,2,2,2,2
q04393494@,2023-03-06,2023-03-06,1,200.0,0.0,956.88,956.88,956.88,1,1,1,1
q060864871,2024-08-06,2024-09-17,2,830.0,0.0,1017.81,822.79,920.3,2,2,2,2
q06492713@,2023-04-05,2024-04-22,5,710.0,0.0,3364.81,132.92,1296.6979999999999,5,5,5,5
q09778271@,2024-08-12,2024-08-12,1,200.0,0.0,599.25,599.25,599.25,1,1,1,1
q122854506,2024-10-31,2024-10-31,1,60.0,0.0,1004.81,1004.81,1004.81,1,1,1,1
q127702016,2023-03-15,2023-03-15,1,150.0,0.0,652.38,652.38,652.38,1,1,1,1
q152631433,2024-05-01,2024-05-01,1,40.0,0.0,2956.03,2956.03,2956.03,1,1,1,1
q168215144,2024-04-15,2024-04-15,1,22.0,0.0,2506.02,2506.02,2506.02,1,1,1,1
q17788785@,2024-10-12,2024-10-12,1,1104.0,0.0,1206.81,1206.81,1206.81,1,1,1,1
q193497060,2023-11-22,2023-11-22,1,300.0,0.0,283.92,283.92,283.92,1,1,1,1
q196487951,2023-12-09,2023-12-09,1,350.0,0.0,761.92,761.92,761.92,1,1,1,1
q197901178,2023-06-21,2023-06-21,1,80.0,0.0,877.62,877.62,877.62,1,1,1,1
q207571625,2023-06-23,2023-06-23,1,290.0,0.0,1487.62,1487.62,1487.62,1,1,1,1
q230851695,2023-04-21,2023-04-21,1,40.0,0.0,1469.82,1469.82,1469.82,1,1,1,1
q250642425,2023-05-21,2023-05-21,1,65.0,0.0,1046.82,1046.82,1046.82,1,1,1,1
q260799349,2023-06-10,2023-06-10,1,10.0,0.0,485.12,485.12,485.12,1,1,1,1
q271085757,2024-04-22,2024-04-27,2,150.0,0.0,1040.02,937.02,988.52,2,2,2,2
q278033093,2023-12-18,2023-12-18,1,30.0,0.0,537.92,537.92,537.92,1,1,1,1
q378245066,2023-05-17,2023-05-17,1,15.0,0.0,470.82,470.82,470.82,1,1,1,1
q389445684,2024-06-25,2024-06-25,1,150.0,0.0,761.31,761.31,761.31,1,1,1,1
q478627637,2023-06-19,2023-06-19,1,25.0,0.0,376.12,376.12,376.12,1,1,1,1
q480748453,2024-09-02,2024-10-09,3,332.0,0.0,4053.81,250.77,1687.4633333333331,3,3,3,3
q48179062@,2023-12-20,2023-12-20,1,100.0,0.0,1200.92,1200.92,1200.92,1,1,1,1
q506304237,2023-03-24,2023-05-30,6,280.0,0.0,1389.82,916.82,1218.08,6,6,6,6
q509313885,2023-06-06,2023-06-06,1,15.0,0.0,1083.82,1083.82,1083.82,1,1,1,1
q538435092,2023-12-20,2023-12-20,1,250.0,0.0,1300.92,1300.92,1300.92,1,1,1,1
q554757059,2023-11-05,2023-11-05,1,70.0,0.0,872.92,872.92,872.92,1,1,1,1
q582445006,2024-10-03,2024-10-03,1,15.0,0.0,1652.81,1652.81,1652.81,1,1,1,1
q591263088,2024-10-10,2024-10-10,1,60.0,0.0,3993.81,3993.81,3993.81,1,1,1,1
q611756441,2023-01-18,2023-01-18,1,12.0,0.0,1820.88,1820.88,1820.88,1,1,1,1
q641304611,2024-10-12,2024-10-12,1,80.0,0.0,3514.81,3514.81,3514.81,1,1,1,1
q66063414@,2023-01-15,2023-01-15,1,100.0,0.0,2401.88,2401.88,2401.88,1,1,1,1
q669621831,2023-11-17,2023-11-24,2,110.0,0.0,583.92,408.92,496.41999999999996,2,2,2,2
q674889682,2024-10-03,2024-10-03,1,70.0,0.0,1582.81,1582.81,1582.81,1,1,1,1
q685983762,2023-05-21,2023-05-21,1,20.0,0.0,1006.82,1006.82,1006.82,1,1,1,1
q697365409,2024-06-16,2024-06-16,1,18.0,0.0,1442.31,1442.31,1442.31,1,1,1,1
q698438155,2024-09-24,2024-09-24,1,20.0,0.0,463.81,463.81,463.81,1,1,1,1
q699866917,2024-07-01,2024-07-01,1,80.0,0.0,1376.59,1376.59,1376.59,1,1,1,1
q720539729,2023-08-08,2023-08-08,1,35.0,0.0,2608.62,2608.62,2608.62,1,1,1,1
q752133341,2024-05-13,2024-05-13,1,160.0,0.0,1409.05,1409.05,1409.05,1,1,1,1
q753314637,2024-04-25,2024-04-25,1,50.0,0.0,1062.02,1062.02,1062.02,1,1,1,1
q812920291,2023-05-15,2023-05-15,1,200.0,0.0,680.82,680.82,680.82,1,1,1,1
q828771384,2023-06-02,2023-06-02,1,37.0,0.0,861.82,861.82,861.82,1,1,1,1
q832205277,2023-05-11,2023-08-16,4,270.0,0.0,2476.62,705.92,1335.2949999999998,4,4,4,4
q840397115,2023-04-27,2023-10-16,3,486.0,0.0,966.82,324.92,646.8866666666667,3,3,3,3
q846990111,2023-06-07,2023-09-04,4,171.0,0.0,1421.92,870.12,1107.12,4,4,4,4
q851463720,2023-12-24,2023-12-24,1,100.0,0.0,905.92,905.92,905.92,1,1,1,1
q898155370,2024-08-06,2024-08-06,1,250.0,0.0,1102.79,1102.79,1102.79,1,1,1,1
q902324096,2023-01-13,2023-01-13,1,100.0,0.0,2501.88,2501.88,2501.88,1,1,1,1
q914951432,2023-05-21,2023-05-21,1,80.0,0.0,1111.82,1111.82,1111.82,1,1,1,1
q927921157,2023-04-25,2023-04-25,1,95.0,0.0,1404.82,1404.82,1404.82,1,1,1,1
q990475495,2023-10-03,2023-10-03,1,10.0,0.0,1122.92,1122.92,1122.92,1,1,1,1
q997530966,2023-05-21,2023-05-21,1,100.0,0.0,1290.82,1290.82,1290.82,1,1,1,1
railsbiupi,2023-04-06,2024-08-05,8,1310.0,0.0,3019.81,577.79,1671.0275,8,8,8,8
rk0381207@,2023-11-16,2023-11-16,1,100.0,0.0,798.92,798.92,798.92,1,1,1,1
rohitavshe,2024-06-04,2024-06-04,1,885.0,0.0,623.31,623.31,623.31,1,1,1,1
ruchankada,2023-03-21,2023-03-21,1,0.0,200.0,1673.38,1673.38,1673.38,1,1,1,1
sahebrajya,2023-06-10,2023-06-10,1,1300.0,0.0,495.12,495.12,495.12,1,1,1,1
sakshisawa,2023-09-03,2024-08-11,2,300.0,1000.0,1802.79,1461.92,1632.355,2,2,2,2
sangepuapa,2023-10-23,2024-04-23,2,58.0,100.0,637.02,126.92,381.96999999999997,2,2,2,2
sanjay.gup,2024-10-26,2024-10-26,1,221.0,0.0,169.81,169.81,169.81,1,1,1,1
sawant.123,2023-02-01,2024-11-04,9,2901.0,801.0,1244.81,218.88,759.4322222222222,9,9,9,9
shinderayc,2024-04-29,2024-11-05,3,45.0,0.0,1212.31,843.03,970.1233333333333,3,3,3,3
shloksm28-,2023-05-15,2024-06-16,8,861.0,385.0,1609.31,567.92,1188.325,8,8,8,8
shubhamraj,2023-03-27,2024-10-13,14,4660.0,1805.06,8758.03,262.81,2225.5864285714288,14,14,14,14
sisinty795,2024-06-26,2024-06-26,1,299.72,0.0,471.59,471.59,471.59,1,1,1,1
sohamgondh,2024-06-15,2024-06-16,4,167.0,247.0,1775.31,1442.31,1615.81,4,4,4,4
sonalghola,2023-01-17,2023-01-17,1,1000.0,0.0,1832.88,1832.88,1832.88,1,1,1,1
sondimpi@o,2023-10-08,2023-10-08,1,0.0,500.0,1182.92,1182.92,1182.92,1,1,1,1
spit.easeb,2024-07-14,2024-07-14,1,99069.8,0.0,2289.79,2289.79,2289.79,1,1,1,1
ss280387-1,2024-06-15,2024-06-15,1,0.0,250.0,1743.31,1743.31,1743.31,1,1,1,1
ss280387-2,2023-04-03,2023-04-03,1,0.0,1500.0,3427.48,3427.48,3427.48,1,1,1,1
starbazaar,2024-10-12,2024-10-12,2,2805.0,0.0,2709.81,407.81,1558.81,2,2,2,2
storydek45,2023-02-28,2023-03-05,2,1.0,1.0,1337.88,1156.88,1247.38,2,2,2,2
swayamnpte,2024-08-11,2024-08-11,1,1003.54,0.0,799.25,799.25,799.25,1,1,1,1
techanalog,2023-03-18,2024-05-08,3,1799.0,0.0,3280.05,114.48,1515.6366666666665,3,3,3,3
venishakal,2023-01-09,2023-01-09,1,360.0,0.0,1861.88,1861.88,1861.88,1,1,1,1
viacom18on,2024-09-29,2024-10-30,2,58.0,0.0,167.81,140.81,154.31,2,2,2,2
vihaanshin,2023-04-27,2024-10-24,24,8092.0,5694.0,10879.03,121.92,2305.724583333333,24,24,24,24
vinayakpbh,2023-05-10,2024-04-23,11,300.0,2276.06,5415.46,696.92,2148.612727272727,11,11,11,11
vinayracha,2023-02-22,2023-09-24,2,116.0,15.0,1752.88,403.92,1078.4,2,2,2,2
vyapar.170,2024-06-15,2024-06-15,1,210.0,0.0,1493.31,1493.31,1493.31,1,1,1,1
write2adit,2024-04-23,2024-04-23,1,71.0,0.0,695.02,695.02,695.02,1,1,1,1
zomatoorde,2024-10-30,2024-11-04,2,871.78,0.0,1064.81,949.03,1006.92,2,2,2,2
